procedure_id,service_siret,service_adresse,nb_groupe_instructeur,nb_instructeur,nb_expert
3076,,"35, avenue Carnot
78700 Conflans-Sainte-Honorine",1,5,0,""
4659,13000852700017,Direction Départementale des Territoires - Bureau Education Routière - 40 Bd Anatole France - 51000 CHALONS EN CHAMPAGNE,1,4,0
8950,,"BP 2332
74034 ANNECY CEDEX",1,2,0
9349,13000856800060,"Bâtiment Ozone
181 place Ernest Granier - CS 60 556
34 064 Montpellier cedex 02",1,6,0
9436,21310113200016,"35 avenue de Toulouse
31320 Castanet-Tolosan",1,4,0
10488,78042897500020,"202 rue des capucins
CS 40001
51087 REIMS cédex",1,5,0
10551,78644805000033,"109 Boulevard Louis Blanc
85932 La Roche sur Yon Cedex",1,10,0
10921,22530001100015,Hôtel du département - 39 rue Mazagran - CS 21429 - 53014 LAVAL CEDEX,1,4,0
10977,53409249900068,"65 avenue Jean Rondeaux
76100 ROUEN",1,7,0
11707,13002526500013,"2 rue Michel de l'Hospital
CS 31649
03000 Moulins",1,3,0
11790,17320001500019,"3, place du Préfet Claude Erignac - BP 10322 - 32007 AUCH CEDEX",1,9,12
12107,,1 rue de la Bourgeonnière - BP 82234,1,4,1
12248,,"PLACE D'ARMES B.P 421
97291 LAMENTIN CEDEX 2",1,3,0
12944,,"2 Rue Jules Ferry
CS 90729
60012 BEAUVAIS Cedex",1,4,0
13044,77792713800019,"Place Jean Charbonnel
19118 Brive Cedex",1,2,0
13158,77864952500020,"12 Rue du Clos
89000 AUXERRE ",1,4,0
13159,77864952500020,"12 Rue du Clos
89000 AUXERRE ",1,4,0
13268,,"Site Mangin
89 rue des Cordeliers - CS 80000
17018 LA ROCHELLE Cédex 1",1,3,0
13292,,"30 RUE ROSA BONHEUR 
77000 MELUN",1,10,0
13893,77536959800021,6 rue Louis Armand 41015 Blois ,1,4,0
14074,18003611300017,"143/147, boulevard Anatole France
93285 SAINT-DENIS CEDEX",1,17,40
14378,77792713800019,"Place Jean Charbonnel
19118 Brive Cedex",1,2,0
14501,38101653400061,"TSA 21131
91013 Evry Cedex
",1,7,0
14551,,15 avenue Pasteur 10000 TROYES,1,5,0
14968,,"Rue de Beauffort
62000 ARRAS",1,3,0
15406,77674400500013,"31 rue de la Barrière 
TSA 90030
12030 RODEZ CEDEX",1,2,0
15473,,"1 rue Jean Louis Vincens
47000 AGEN",1,3,0
15474,,"1 rue Jean Louis Vincens
47000 AGEN",1,3,0
15476,77518903800026,"193 avenue de la Châtre
36000 CHATEAUROUX",1,3,0
15929,77914559800016,"10 avenue André Soulier
TSA 11200
43009 Le Puy en Velay",1,3,0
15930,77914559800016,"10 avenue André Soulier
TSA 11200
43009 Le Puy en Velay",1,3,0
16156,38100253400125,"Caf du Val d’Oise
TSA 56921
95018 CERGY-PONTOISE CEDEX",1,2,0
16313,90467398500019,"10 Boulevard Georges Pompidou
05008 GAP Cedex",1,5,0
16470,38098030000095,"52 rue de la république 
93000 Bobigny ",1,3,0
16493,13002932500573,"27-29 Rue Leblanc
75 016 Paris",1,5,0
17134,17350001800101,"81, boulevard d'Armorique 35000 Rennes",1,3,2
17443,,"9-11 Rue Achille Roche
03013 MOULINS CEDEX",1,4,0
17454,77562925600063,"14, rue du 14ème Hussards 61021 Alençon Cedex",1,7,0
18723,13000793300018,"Le Diapason - 2, Place des Savoirs 
 CS 73535 - 21035 Dijon cedex",1,5,0
